station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BWI,2019-07-10 00:00,M,M,M,170.00,2.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100000Z AUTO 17002KT 10SM CLR 27/21 A3003 RMK T02700210 MADISHF
BWI,2019-07-10 00:05,M,M,M,180.00,4.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100005Z AUTO 18004KT 10SM CLR 27/21 A3004 RMK T02700210 MADISHF
BWI,2019-07-10 00:10,M,M,M,170.00,4.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100010Z AUTO 17004KT 10SM CLR 27/21 A3004 RMK T02700210 MADISHF
BWI,2019-07-10 00:15,M,M,M,170.00,4.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100015Z AUTO 17004KT 10SM CLR 27/21 A3003 RMK T02700210 MADISHF
BWI,2019-07-10 00:20,M,M,M,170.00,4.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100020Z AUTO 17004KT 10SM CLR 27/21 A3003 RMK T02700210 MADISHF
BWI,2019-07-10 00:25,M,M,M,180.00,4.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100025Z AUTO 18004KT 10SM CLR 27/21 A3003 RMK T02700210 MADISHF
BWI,2019-07-10 00:30,M,M,M,170.00,4.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100030Z AUTO 17004KT 10SM CLR 27/21 A3003 RMK T02700210 MADISHF
BWI,2019-07-10 00:35,M,M,M,180.00,4.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100035Z AUTO 18004KT 10SM CLR 27/21 A3003 RMK T02700210 MADISHF
BWI,2019-07-10 00:40,M,M,M,180.00,2.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100040Z AUTO 18002KT 10SM CLR 27/21 A3004 RMK T02700210 MADISHF
BWI,2019-07-10 00:45,M,M,M,0.00,0.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100045Z AUTO 00000KT 10SM CLR 26/21 A3004 RMK T02600210 MADISHF
BWI,2019-07-10 00:50,M,M,M,0.00,0.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100050Z AUTO 00000KT 10SM CLR 26/21 A3004 RMK T02600210 MADISHF
BWI,2019-07-10 00:54,79.00,69.10,71.72,170.00,3.00,0.00,30.04,1017.20,10.00,M,FEW,SCT,M,M,5500.00,25000.00,M,M,M,M,M,M,M,M,M,81.55,KBWI 100054Z 17003KT 10SM FEW055 SCT250 26/21 A3004 RMK AO2 SLP172 T02610206
BWI,2019-07-10 00:55,M,M,M,0.00,0.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100055Z AUTO 00000KT 10SM CLR 26/21 A3004 RMK T02600210 MADISHF
BWI,2019-07-10 01:00,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100100Z AUTO 00000KT 10SM CLR 26/21 A3004 RMK T02600210 MADISHF
BWI,2019-07-10 01:05,M,M,M,0.00,0.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100105Z AUTO 00000KT 10SM CLR 26/21 A3004 RMK T02600210 MADISHF
BWI,2019-07-10 01:10,M,M,M,170.00,2.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100110Z AUTO 17002KT 10SM CLR 26/21 A3004 RMK T02600210 MADISHF
BWI,2019-07-10 01:15,M,M,M,190.00,2.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100115Z AUTO 19002KT 10SM CLR 26/21 A3004 RMK T02600210 MADISHF
BWI,2019-07-10 01:20,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100120Z AUTO 00000KT 10SM CLR 26/21 A3004 RMK T02600210 MADISHF
BWI,2019-07-10 01:25,M,M,M,180.00,2.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100125Z AUTO 18002KT 10SM CLR 26/21 A3004 RMK T02600210 MADISHF
BWI,2019-07-10 01:30,M,M,M,170.00,2.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100130Z AUTO 17002KT 10SM CLR 26/21 A3005 RMK T02600210 MADISHF
BWI,2019-07-10 01:35,M,M,M,180.00,2.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100135Z AUTO 18002KT 10SM CLR 26/21 A3005 RMK T02600210 MADISHF
BWI,2019-07-10 01:40,M,M,M,180.00,2.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100140Z AUTO 18002KT 10SM CLR 26/21 A3005 RMK T02600210 MADISHF
BWI,2019-07-10 01:45,M,M,M,0.00,0.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100145Z AUTO 00000KT 10SM CLR 26/21 A3006 RMK T02600210 MADISHF
BWI,2019-07-10 01:50,M,M,M,180.00,2.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100150Z AUTO 18002KT 10SM CLR 25/21 A3006 RMK T02500210 MADISHF
BWI,2019-07-10 01:54,77.00,69.10,76.62,190.00,3.00,0.00,30.07,1018.10,10.00,M,SCT,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,78.00,KBWI 100154Z 19003KT 10SM SCT250 25/21 A3007 RMK AO2 SLP181 T02500206
BWI,2019-07-10 01:55,M,M,M,0.00,0.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100155Z AUTO 00000KT 10SM CLR 25/21 A3006 RMK T02500210 MADISHF
BWI,2019-07-10 02:00,M,M,M,210.00,2.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100200Z AUTO 21002KT 10SM CLR 25/21 A3006 RMK T02500210 MADISHF
BWI,2019-07-10 02:05,M,M,M,200.00,2.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100205Z AUTO 20002KT 10SM CLR 25/21 A3006 RMK T02500210 MADISHF
BWI,2019-07-10 02:10,M,M,M,200.00,2.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBWI 100210Z AUTO 20002KT 10SM CLR 25/21 A3006 RMK T02500210 MADISHF
