station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
MTN,2019-07-01 00:03,73.40,57.20,56.88,320.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KMTN 010403Z AUTO 32003KT 10SM CLR 23/14 A2992 RMK AO2
MTN,2019-07-01 00:21,73.40,57.20,56.88,310.00,3.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KMTN 010421Z AUTO 31003KT 10SM CLR 23/14 A2993 RMK AO2
MTN,2019-07-01 00:42,71.60,55.40,56.63,330.00,3.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KMTN 010442Z AUTO 33003KT 10SM CLR 22/13 A2994 RMK AO2
MTN,2019-07-01 01:03,69.80,55.40,60.21,320.00,3.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KMTN 010503Z AUTO 32003KT 10SM CLR 21/13 A2994 RMK AO2
MTN,2019-07-01 01:21,69.80,55.40,60.21,310.00,3.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KMTN 010521Z AUTO 31003KT 10SM CLR 21/13 A2995 RMK AO2
MTN,2019-07-01 01:42,68.00,55.40,64.04,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KMTN 010542Z AUTO 00000KT 10SM CLR 20/13 A2996 RMK AO2
MTN,2019-07-01 02:03,68.00,55.40,64.04,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KMTN 010603Z AUTO 00000KT 10SM CLR 20/13 A2996 RMK AO2
MTN,2019-07-01 02:21,68.00,55.40,64.04,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KMTN 010621Z AUTO 00000KT 10SM CLR 20/13 A2996 RMK AO2
MTN,2019-07-01 03:03,66.20,55.40,68.15,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,KMTN 010703Z AUTO 00000KT 10SM CLR 19/13 A2996 RMK AO2
MTN,2019-07-01 03:21,66.20,55.40,68.15,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,KMTN 010721Z AUTO 00000KT 10SM CLR 19/13 A2996 RMK AO2
MTN,2019-07-01 03:42,66.20,55.40,68.15,300.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,KMTN 010742Z AUTO 30005KT 10SM CLR 19/13 A2996 RMK AO2
MTN,2019-07-01 04:03,66.20,55.40,68.15,310.00,4.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,KMTN 010803Z AUTO 31004KT 10SM CLR 19/13 A2996 RMK AO2
MTN,2019-07-01 04:21,64.40,55.40,72.56,290.00,4.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,KMTN 010821Z AUTO 29004KT 10SM CLR 18/13 A2996 RMK AO2
MTN,2019-07-01 04:42,64.40,55.40,72.56,300.00,3.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,KMTN 010842Z AUTO 30003KT 10SM CLR 18/13 A2996 RMK AO2
MTN,2019-07-01 05:03,64.40,57.20,77.45,300.00,3.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,KMTN 010903Z AUTO 30003KT 10SM CLR 18/14 A2997 RMK AO2
MTN,2019-07-01 05:21,62.60,55.40,77.29,300.00,4.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,KMTN 010921Z AUTO 30004KT 10SM CLR 17/13 A2997 RMK AO2
MTN,2019-07-01 05:30,62.60,55.40,77.29,300.00,4.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,KMTN 010930Z AUTO 30004KT 10SM CLR 17/13 A2996 RMK AO2
MTN,2019-07-01 05:50,62.60,57.20,82.50,320.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,KMTN 010950Z 32005KT 10SM SKC 17/14 A2997
MTN,2019-07-01 06:45,66.20,59.00,77.60,320.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,KMTN 011045Z 32005KT 10SM SKC 19/15 A2998
MTN,2019-07-01 07:45,69.80,59.00,68.55,320.00,5.00,0.00,29.99,M,10.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,69.80,KMTN 011145Z 32005KT 10SM FEW250 21/15 A2999
MTN,2019-07-01 08:45,73.40,59.00,60.67,310.00,6.00,0.00,30.01,M,10.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,73.40,KMTN 011245Z 31006KT 10SM FEW250 23/15 A3001
MTN,2019-07-01 09:45,75.20,60.80,60.90,310.00,5.00,0.00,30.01,M,10.00,M,SCT,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,75.20,KMTN 011345Z 31005KT 10SM SCT250 24/16 A3001
MTN,2019-07-01 10:45,77.00,60.80,57.36,310.00,6.00,0.00,30.01,M,10.00,M,SCT,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,77.00,KMTN 011445Z 31006KT 10SM SCT250 25/16 A3001
MTN,2019-07-01 11:54,78.80,60.80,54.05,140.00,5.00,0.00,29.99,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,M,M,M,M,M,M,78.80,KMTN 011554Z 14005KT 10SM SCT055 26/16 A2999
MTN,2019-07-01 12:54,80.60,60.80,50.95,M,4.00,0.00,29.99,M,10.00,M,SCT,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,81.46,KMTN 011654Z VRB04KT 10SM SCT050 27/16 A2999
MTN,2019-07-01 13:45,80.60,62.60,54.30,150.00,5.00,0.00,29.99,M,10.00,M,SCT,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,81.84,KMTN 011745Z 15005KT 10SM SCT050 27/17 A2999
MTN,2019-07-01 14:45,82.40,64.40,54.55,140.00,7.00,0.00,29.98,M,10.00,M,SCT,SCT,M,M,5500.00,25000.00,M,M,M,M,M,M,M,M,M,83.98,KMTN 011845Z 14007KT 10SM SCT055 SCT250 28/18 A2998
MTN,2019-07-01 15:45,82.40,62.60,51.21,130.00,5.00,0.00,29.97,M,10.00,M,SCT,BKN,M,M,5500.00,25000.00,M,M,M,M,M,M,M,M,M,83.41,KMTN 011945Z 13005KT 10SM SCT055 BKN250 28/17 A2997
MTN,2019-07-01 16:45,84.20,62.60,48.32,160.00,6.00,0.00,29.96,M,10.00,M,FEW,FEW,SCT,M,5000.00,6500.00,25000.00,M,M,M,M,M,M,M,M,85.03,KMTN 012045Z 16006KT 10SM FEW050 FEW065 SCT250 29/17 A2996
MTN,2019-07-01 17:54,82.40,62.60,51.21,130.00,5.00,0.00,29.94,M,10.00,M,BKN,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,83.41,KMTN 012154Z 13005KT 10SM BKN250 28/17 A2994
MTN,2019-07-01 18:45,82.40,62.60,51.21,140.00,4.00,0.00,29.94,M,10.00,M,BKN,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,83.41,KMTN 012245Z 14004KT 10SM BKN250 28/17 A2994
MTN,2019-07-01 19:45,78.80,62.60,57.60,170.00,4.00,0.00,29.94,M,10.00,M,BKN,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,80.31,KMTN 012345Z 17004KT 10SM BKN250 26/17 A2994
MTN,2019-07-01 20:45,77.00,64.40,65.12,170.00,4.00,0.00,29.95,M,10.00,M,BKN,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,77.00,KMTN 020045Z 17004KT 10SM BKN250 25/18 A2995
MTN,2019-07-01 21:45,77.00,64.40,65.12,180.00,4.00,0.00,29.95,M,10.00,M,BKN,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,77.00,KMTN 020145Z 18004KT 10SM BKN250 25/18 A2995
MTN,2019-07-01 22:03,77.00,64.40,65.12,170.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KMTN 020203Z AUTO 17005KT 10SM CLR 25/18 A2995 RMK AO2
MTN,2019-07-01 22:21,77.00,64.40,65.12,170.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KMTN 020221Z AUTO 17005KT 10SM CLR 25/18 A2995 RMK AO2
MTN,2019-07-01 22:42,77.00,64.40,65.12,190.00,3.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KMTN 020242Z AUTO 19003KT 10SM CLR 25/18 A2996 RMK AO2
MTN,2019-07-01 23:03,75.20,64.40,69.14,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KMTN 020303Z AUTO 00000KT 10SM CLR 24/18 A2996 RMK AO2
MTN,2019-07-01 23:21,71.60,64.40,78.04,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KMTN 020321Z AUTO 00000KT 10SM CLR 22/18 A2996 RMK AO2
MTN,2019-07-01 23:42,71.60,64.40,78.04,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KMTN 020342Z AUTO 00000KT 10SM CLR 22/18 A2996 RMK AO2
MTN,2019-07-02 00:03,71.60,64.40,78.04,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KMTN 020403Z AUTO 00000KT 10SM CLR 22/18 A2995 RMK AO2
MTN,2019-07-02 00:21,71.60,66.20,83.09,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KMTN 020421Z AUTO 00000KT 10SM CLR 22/19 A2995 RMK AO2
MTN,2019-07-02 00:42,73.40,66.20,78.19,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KMTN 020442Z AUTO 00000KT 10SM CLR 23/19 A2995 RMK AO2
MTN,2019-07-02 01:03,71.60,66.20,83.09,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KMTN 020503Z AUTO 00000KT 10SM CLR 22/19 A2995 RMK AO2
MTN,2019-07-02 01:21,69.80,66.20,88.34,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KMTN 020521Z AUTO 00000KT 10SM CLR 21/19 A2995 RMK AO2
